Country_Code,Country,Year,Crop_Production_Index,Forest_Area_PctLand,GHG_Emissions_MtCO2e
MYS,Malaysia,2005,86.05,58.802313194338765,215.2126
MYS,Malaysia,2006,90.4,58.57595495358393,223.0275
MYS,Malaysia,2007,89.28,58.3495967128291,240.6026
MYS,Malaysia,2008,95.17,58.12323847207427,252.8853
MYS,Malaysia,2009,91.62,57.89688023131944,235.8426
MYS,Malaysia,2010,90.97,57.6705219905646,250.7903
MYS,Malaysia,2011,99.75,57.98497641150511,252.9347
MYS,Malaysia,2012,101.2,58.2994308324456,254.6051
MYS,Malaysia,2013,100.55,58.61388525338609,272.7485
MYS,Malaysia,2014,101.21,58.928339674326594,287.4116
MYS,Malaysia,2015,104.44,59.24279409526708,290.1481
MYS,Malaysia,2016,94.36,58.78752092527774,286.5024
MYS,Malaysia,2017,106.57,58.6348805356871,274.6473
MYS,Malaysia,2018,102.78,58.48224014609649,291.0216
MYS,Malaysia,2019,103.03,58.32959975650586,292.1334
MYS,Malaysia,2020,101.74,58.17695936691523,288.8584
MYS,Malaysia,2021,97.74,58.02431897732461,293.3116
MYS,Malaysia,2022,97.93,57.871678587733975,312.7472
MYS,Malaysia,2023,,57.71903819814336,318.3725
MYS,Malaysia,2024,,,332.1668
